NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Pennate diatom,Silicoflagellate
YON20170724,Yongala,-19.30847,147.61842,2017-07-24T10:45:00Z,2017,7,24,10:45:00,0,0,0,0,0,0,0
NSI20170717,North Stradbroke,-27.345,153.562,2017-07-17T11:05:00Z,2017,7,17,11:05:00,0,0,0,0,0,0,0
PHB20170716,Port Hacking,-34.11923,151.22667,2017-07-17T09:42:00Z,2017,7,17,09:42:00,0,0,0,0,0,0,0
DAR20170715_0030,Darwin,-12.4,130.76805,2017-07-15T10:00:00Z,2017,7,15,10:00:00,0,0,0,0,0,0,0
YON20170705,Yongala,-19.30847,147.61842,2017-07-05T10:21:00Z,2017,7,5,10:21:00,0,0,0,0,0,0,0
NSI20170627,North Stradbroke,-27.345,153.562,2017-06-27T10:20:00Z,2017,6,27,10:20:00,0,0,0,0,0,0,0
MAI20170626,Maria Island,-42.59667,148.23333,2017-06-27T09:25:00Z,2017,6,27,09:25:00,0,0,0,0,0,0,0
ROT20170626,Rottnest Island,-32,115.41667,2017-06-26T09:46:00Z,2017,6,26,09:46:00,0,0,0,0,0,0,0
PHB20170614,Port Hacking,-34.11923,151.22667,2017-06-15T08:52:00Z,2017,6,15,08:52:00,0,0,0,0,0,0,0
MAI20170601,Maria Island,-42.59667,148.23333,2017-06-02T09:00:00Z,2017,6,2,09:00:00,0,0,0,0,0,0,0
YON20170528,Yongala,-19.30847,147.61842,2017-05-29T08:11:00Z,2017,5,29,08:11:00,0,0,0,0,0,0,0
ROT20170523,Rottnest Island,-32,115.41667,2017-05-23T09:53:00Z,2017,5,23,09:53:00,0,0,0,0,0,0,0
KAI20170518,Kangaroo Island,-35.83217,136.44733,2017-05-18T11:15:00Z,2017,5,18,11:15:00,0,0,0,0,0,0,0
PHB20170517,Port Hacking,-34.11923,151.22667,2017-05-18T09:45:00Z,2017,5,18,09:45:00,0,0,0,0,0,0,0
DAR20170516,Darwin,-12.4,130.76805,2017-05-17T08:47:00Z,2017,5,17,08:47:00,0,0,0,0,0,0,0
NSI20170516,North Stradbroke,-27.345,153.562,2017-05-16T10:20:00Z,2017,5,16,10:20:00,0,0,0,0,0,0,0
ROT20170428,Rottnest Island,-32,115.41667,2017-04-28T09:52:00Z,2017,4,28,09:52:00,0,0,0,0,0,0,0
YON20170426,Yongala,-19.30847,147.61842,2017-04-26T10:20:00Z,2017,4,26,10:20:00,0,0,0,0,0,0,0
NSI20170424,North Stradbroke,-27.345,153.562,2017-04-24T11:00:00Z,2017,4,24,11:00:00,0,0,0,0,0,0,0
MAI20170412,Maria Island,-42.59667,148.23333,2017-04-12T10:15:00Z,2017,4,12,10:15:00,0,0,0,0,0,0,0
ROT20170407,Rottnest Island,-32,115.41667,2017-04-07T09:28:00Z,2017,4,7,09:28:00,0,0,0,0,0,0,0
ROT20170331,Rottnest Island,-32,115.41667,2017-03-31T10:24:00Z,2017,3,31,10:24:00,0,0,0,0,0,0,0
MAI20170323,Maria Island,-42.59667,148.23333,2017-03-24T09:30:00Z,2017,3,24,09:30:00,0,0,0,0,0,0,0
YON20170322,Yongala,-19.30847,147.61842,2017-03-22T12:00:00Z,2017,3,22,12:00:00,0,0,0,0,0,0,0
PHB20170321,Port Hacking,-34.11923,151.22667,2017-03-22T09:21:00Z,2017,3,22,09:21:00,0,0,0,0,0,0,0
KAI20170315,Kangaroo Island,-35.83217,136.44733,2017-03-15T12:27:00Z,2017,3,15,12:27:00,0,0,0,0,0,0,0
ROT20170303,Rottnest Island,-32,115.41667,2017-03-03T10:30:00Z,2017,3,3,10:30:00,0,0,0,0,0,0,0
MAI20170223,Maria Island,-42.59667,148.23333,2017-02-24T08:50:00Z,2017,2,24,08:50:00,0,0,0,0,0,0,0
YON20170220,Yongala,-19.30847,147.61842,2017-02-20T10:29:00Z,2017,2,20,10:29:00,0,0,0,0,0,0,0
NSI20170217,North Stradbroke,-27.345,153.562,2017-02-17T10:30:00Z,2017,2,17,10:30:00,0,0,0,0,0,0,0
PHB20170205,Port Hacking,-34.11923,151.22667,2017-02-06T10:49:00Z,2017,2,6,10:49:00,0,0,0,0,0,0,0
DAR20170203_0630,Darwin,-12.4,130.76805,2017-02-03T16:00:00Z,2017,2,3,16:00:00,0,0,0,0,0,0,0
ROT20170120,Rottnest Island,-32,115.41667,2017-01-20T10:20:00Z,2017,1,20,10:20:00,0,0,0,0,0,0,0
YON20170120,Yongala,-19.30847,147.61842,2017-01-20T10:00:00Z,2017,1,20,10:00:00,0,0,0,0,0,0,0
NSI20170117,North Stradbroke,-27.345,153.562,2017-01-17T10:30:00Z,2017,1,17,10:30:00,0,0,0,0,0,0,0
MAI20170104,Maria Island,-42.59667,148.23333,2017-01-05T09:45:00Z,2017,1,5,09:45:00,0,0,0,0,0,0,0
NSI20161215,North Stradbroke,-27.345,153.562,2016-12-15T10:15:00Z,2016,12,15,10:15:00,0,0,0,0,0,0,0
ROT20161214,Rottnest Island,-32,115.41667,2016-12-14T09:35:00Z,2016,12,14,09:35:00,0,0,0,0,0,0,0
YON20161207,Yongala,-19.30847,147.61842,2016-12-07T10:15:00Z,2016,12,7,10:15:00,0,0,0,0,0,0,0
PHB20161204,Port Hacking,-34.11923,151.22667,2016-12-05T09:45:00Z,2016,12,5,09:45:00,0,0,0,0,0,0,0
KAI20161118,Kangaroo Island,-35.83217,136.44733,2016-11-18T12:45:00Z,2016,11,18,12:45:00,0,0,0,0,0,0,0
MAI20161117,Maria Island,-42.59667,148.23333,2016-11-18T09:10:00Z,2016,11,18,09:10:00,0,0,0,0,0,0,0
NSI20161116,North Stradbroke,-27.345,153.562,2016-11-16T10:15:00Z,2016,11,16,10:15:00,0,0,0,0,0,0,0
ROT20161114,Rottnest Island,-32,115.41667,2016-11-14T09:45:00Z,2016,11,14,09:45:00,0,0,0,0,0,0,0
YON20161108,Yongala,-19.30847,147.61842,2016-11-08T10:50:00Z,2016,11,8,10:50:00,0,0,0,0,0,0,0
DAR20161107,Darwin,-12.4,130.76805,2016-11-08T08:11:00Z,2016,11,8,08:11:00,0,0,0,0,0,0,0
PHB20161030,Port Hacking,-34.11923,151.22667,2016-10-31T09:35:00Z,2016,10,31,09:35:00,0,0,0,0,0,0,0
ROT20161024,Rottnest Island,-32,115.41667,2016-10-24T09:35:00Z,2016,10,24,09:35:00,0,0,0,0,0,0,0
NSI20161019,North Stradbroke,-27.345,153.562,2016-10-20T09:40:00Z,2016,10,20,09:40:00,0,0,0,0,0,0,0
YON20161012,Yongala,-19.30847,147.61842,2016-10-12T10:26:00Z,2016,10,12,10:26:00,0,0,0,0,0,0,0
ROT20161004,Rottnest Island,-32,115.41667,2016-10-04T10:38:00Z,2016,10,4,10:38:00,0,0,0,0,0,0,0
YON20160927,Yongala,-19.30847,147.61842,2016-09-27T10:33:00Z,2016,9,27,10:33:00,0,0,0,0,0,0,0
MAI20160927,Maria Island,-42.59667,148.23333,2016-09-27T10:10:00Z,2016,9,27,10:10:00,0,0,0,0,0,0,0
PHB20160926,Port Hacking,-34.11923,151.22667,2016-09-27T09:54:00Z,2016,9,27,09:54:00,0,0,0,0,0,0,0
NSI20160920,North Stradbroke,-27.345,153.562,2016-09-20T10:15:00Z,2016,9,20,10:15:00,0,0,0,0,0,0,0
KAI20160915,Kangaroo Island,-35.83217,136.44733,2016-09-15T11:18:00Z,2016,9,15,11:18:00,0,0,0,0,0,0,0
MAI20160831,Maria Island,-42.59667,148.23333,2016-08-31T10:26:00Z,2016,8,31,10:26:00,0,0,0,0,0,0,0
PHB20160829,Port Hacking,-34.11923,151.22667,2016-08-30T09:20:00Z,2016,8,30,09:20:00,0,0,0,0,0,0,0
YON20160823,Yongala,-19.30847,147.61842,2016-08-23T10:19:00Z,2016,8,23,10:19:00,0,0,0,0,0,0,0
NSI20160822,North Stradbroke,-27.345,153.562,2016-08-22T10:50:00Z,2016,8,22,10:50:00,0,0,0,0,0,0,0
YON20160725,Yongala,-19.30847,147.61842,2016-07-25T10:25:00Z,2016,7,25,10:25:00,0,0,0,0,0,0,0
DAR20160724_0730,Darwin,-12.4,130.76805,2016-07-24T17:00:00Z,2016,7,24,17:00:00,0,0,0,0,0,0,0
MAI20160720,Maria Island,-42.59667,148.23333,2016-07-21T09:30:00Z,2016,7,21,09:30:00,0,0,0,0,0,0,0
PHB20160719,Port Hacking,-34.11923,151.22667,2016-07-19T10:19:00Z,2016,7,19,10:19:00,0,0,0,0,0,0,0
MAI20160630,Maria Island,-42.59667,148.23333,2016-07-01T09:30:00Z,2016,7,1,09:30:00,0,0,0,0,0,0,0
YON20160624,Yongala,-19.30847,147.61842,2016-06-24T10:00:00Z,2016,6,24,10:00:00,0,0,0,0,0,0,0
NSI20160623,North Stradbroke,-27.345,153.562,2016-06-23T10:30:00Z,2016,6,23,10:30:00,0,0,0,0,0,0,0
ROT20160621,Rottnest Island,-32,115.41667,2016-06-21T09:26:00Z,2016,6,21,09:26:00,0,0,0,0,0,0,0
PHB20160615,Port Hacking,-34.11923,151.22667,2016-06-15T11:06:00Z,2016,6,15,11:06:00,0,0,0,0,0,0,0
YON20160601,Yongala,-19.30847,147.61842,2016-06-01T10:46:00Z,2016,6,1,10:46:00,0,0,0,0,0,0,0
MAI20160530,Maria Island,-42.59667,148.23333,2016-05-31T09:45:00Z,2016,5,31,09:45:00,0,0,0,0,0,0,0
DAR20160530,Darwin,-12.4,130.76805,2016-05-31T07:50:00Z,2016,5,31,07:50:00,0,0,0,0,0,0,0
ROT20160527,Rottnest Island,-32,115.41667,2016-05-27T09:30:00Z,2016,5,27,09:30:00,0,0,0,0,0,0,0
KAI20160525,Kangaroo Island,-35.83217,136.44733,2016-05-26T07:35:00Z,2016,5,26,07:35:00,0,0,0,0,0,0,0
NSI20160517,North Stradbroke,-27.345,153.562,2016-05-17T10:30:00Z,2016,5,17,10:30:00,0,0,0,0,0,0,0
YON20160503,Yongala,-19.30847,147.61842,2016-05-03T10:01:00Z,2016,5,3,10:01:00,0,0,0,0,0,0,0
PHB20160502,Port Hacking,-34.11923,151.22667,2016-05-03T09:14:00Z,2016,5,3,09:14:00,0,0,0,0,0,0,0
ROT20160502,Rottnest Island,-32,115.41667,2016-05-02T09:44:00Z,2016,5,2,09:44:00,0,0,0,0,0,0,0
MAI20160428,Maria Island,-42.59667,148.23333,2016-04-28T10:47:00Z,2016,4,28,10:47:00,0,0,0,0,0,0,0
ROT20160413,Rottnest Island,-32,115.41667,2016-04-13T09:30:00Z,2016,4,13,09:30:00,0,0,0,0,0,0,0
NSI20160412,North Stradbroke,-27.345,153.562,2016-04-12T10:45:00Z,2016,4,12,10:45:00,0,0,0,0,0,0,0
PHB20160407,Port Hacking,-34.11923,151.22667,2016-04-08T09:13:00Z,2016,4,8,09:13:00,0,0,0,0,0,0,0
ROT20160324,Rottnest Island,-32,115.41667,2016-03-24T09:47:00Z,2016,3,24,09:47:00,0,0,0,0,0,0,0
MAI20160321,Maria Island,-42.59667,148.23333,2016-03-22T10:11:00Z,2016,3,22,10:11:00,0,0,0,0,0,0,0
YON20160321,Yongala,-19.30847,147.61842,2016-03-21T10:31:00Z,2016,3,21,10:31:00,0,0,0,0,0,0,0
NSI20160318,North Stradbroke,-27.345,153.562,2016-03-18T10:30:00Z,2016,3,18,10:30:00,0,0,0,0,0,0,0
MAI20160303,Maria Island,-42.59667,148.23333,2016-03-04T10:15:00Z,2016,3,4,10:15:00,0,0,0,0,0,0,0
PHB20160229,Port Hacking,-34.11923,151.22667,2016-03-01T09:00:00Z,2016,3,1,09:00:00,0,0,0,0,0,0,0
KAI20160223,Kangaroo Island,-35.83217,136.44733,2016-02-24T07:55:00Z,2016,2,24,07:55:00,0,0,0,0,0,0,0
ROT20160223,Rottnest Island,-32,115.41667,2016-02-23T08:57:00Z,2016,2,23,08:57:00,0,0,0,0,0,0,0
YON20160215,Yongala,-19.30847,147.61842,2016-02-15T10:18:00Z,2016,2,15,10:18:00,0,0,0,0,0,0,0
MAI20160209,Maria Island,-42.59667,148.23333,2016-02-10T10:45:00Z,2016,2,10,10:45:00,0,0,0,0,0,0,0
DAR20160202_0630,Darwin,-12.4,130.76805,2016-02-02T16:00:00Z,2016,2,2,16:00:00,0,0,0,0,0,0,0
PHB20160201,Port Hacking,-34.11923,151.22667,2016-02-02T10:52:00Z,2016,2,2,10:52:00,0,0,0,0,0,0,0
YON20160122,Yongala,-19.30847,147.61842,2016-01-22T10:39:00Z,2016,1,22,10:39:00,0,0,0,0,0,0,0
NSI20160120,North Stradbroke,-27.345,153.562,2016-01-20T10:30:00Z,2016,1,20,10:30:00,0,0,0,0,0,0,0
MAI20151216,Maria Island,-42.59667,148.23333,2015-12-17T09:35:00Z,2015,12,17,09:35:00,0,0,0,0,0,0,0
NSI20151216,North Stradbroke,-27.345,153.562,2015-12-16T10:30:00Z,2015,12,16,10:30:00,0,0,0,0,0,0,0
ROT20151215,Rottnest Island,-32,115.41667,2015-12-15T08:22:00Z,2015,12,15,08:22:00,0,0,0,0,0,0,0
YON20151203,Yongala,-19.30847,147.61842,2015-12-03T11:00:00Z,2015,12,3,11:00:00,0,0,0,0,0,0,0
MAI20151118,Maria Island,-42.59667,148.23333,2015-11-19T10:45:00Z,2015,11,19,10:45:00,0,0,0,0,0,0,0
NSI20151119,North Stradbroke,-27.345,153.562,2015-11-19T10:24:00Z,2015,11,19,10:24:00,0,0,0,0,0,0,0
DAR20151117,Darwin,-12.4,130.76805,2015-11-18T08:16:00Z,2015,11,18,08:16:00,0,0,0,0,0,0,0
KAI20151116,Kangaroo Island,-35.83217,136.44733,2015-11-17T09:50:00Z,2015,11,17,09:50:00,0,0,0,0,0,0,0
PHB20151115,Port Hacking,-34.11923,151.22667,2015-11-16T09:33:00Z,2015,11,16,09:33:00,0,0,0,0,0,0,0
YON20151111,Yongala,-19.30847,147.61842,2015-11-11T10:45:00Z,2015,11,11,10:45:00,0,0,0,0,0,0,0
NSI20151027,North Stradbroke,-27.345,153.562,2015-10-27T10:50:00Z,2015,10,27,10:50:00,0,0,0,0,0,0,0
YON20151027,Yongala,-19.30847,147.61842,2015-10-27T10:10:00Z,2015,10,27,10:10:00,0,0,0,0,0,0,0
ROT20151022,Rottnest Island,-32,115.41667,2015-10-22T09:36:00Z,2015,10,22,09:36:00,0,0,0,0,0,0,0
