LATITUDE,LONGITUDE,SAMPLE_TIME_UTC
-12.717,141.717,1989-09-02T00:00:00Z
-12.85,141.567,1990-10-16T00:00:00Z
-12.717,141.55,1989-10-02T00:00:00Z
-12.65,141.55,1990-03-29T00:00:00Z
-12.633,141.15,1992-02-06T00:00:00Z
-12.65,141.55,1992-03-05T00:00:00Z
-12.55,141.45,1991-09-11T00:00:00Z
-12.733,141.533,1987-03-02T00:00:00Z
-12.733,141.55,1987-07-29T00:00:00Z
-12.75,141.567,1988-06-15T00:00:00Z
-12.833,141.65,1988-07-13T00:00:00Z
-12.75,141.567,1990-09-19T00:00:00Z
-12.717,141.717,1990-02-23T00:00:00Z
-12.75,141.567,1990-08-19T00:00:00Z
-12.717,141.717,1990-08-23T00:00:00Z
-12.633,141.15,1992-03-05T00:00:00Z
-12.717,141.717,1991-09-06T00:00:00Z
-12.35,141.35,1987-07-25T00:00:00Z
-12.317,140.917,1987-07-25T00:00:00Z
-12.65,141.667,1988-05-17T00:00:00Z
-12.733,141.65,1989-02-07T00:00:00Z
-12.55,141.55,1989-02-10T00:00:00Z
-12.55,141.45,1989-04-06T00:00:00Z
-12.65,141.55,1988-09-13T00:00:00Z
-12.65,141.533,1988-03-20T00:00:00Z
-12.633,141.717,1990-09-19T00:00:00Z
-12.717,141.717,1991-01-17T00:00:00Z
-12.65,141.667,1989-11-30T00:00:00Z
-12.833,141.65,1990-08-22T00:00:00Z
-12.55,141.55,1991-03-16T00:00:00Z
-12.55,141.433,1987-09-21T00:00:00Z
-12.65,141.55,1988-07-13T00:00:00Z
-12.65,141.667,1989-03-10T00:00:00Z
-12.733,141.65,1989-10-02T00:00:00Z
-12.75,141.567,1989-11-30T00:00:00Z
-12.55,141.55,1989-11-30T00:00:00Z
-12.8,141.7,1990-02-27T00:00:00Z
-12.633,141.717,1991-04-13T00:00:00Z
-12.85,141.567,1991-10-08T00:00:00Z
-12.85,141.533,1986-04-11T00:00:00Z
-12.85,141.567,1988-08-12T00:00:00Z
-12.55,141.55,1989-03-09T00:00:00Z
-12.717,141.717,1990-03-30T00:00:00Z
-12.55,141.55,1991-10-08T00:00:00Z
-12.8,141.717,1987-01-31T00:00:00Z
-12.8,141.717,1986-12-04T00:00:00Z
-12.5,141.267,1989-02-10T00:00:00Z
-12.717,141.717,1989-10-30T00:00:00Z
-12.8,141.7,1988-12-08T00:00:00Z
-27.353333,153.166667,2009-01-14T00:00:00Z
-27.38712,153.158839,2011-01-19T00:00:00Z
-27.38712,153.158839,2009-01-14T00:00:00Z
-38.397913,142.510119,2010-01-18T00:00:00Z
-38.397425,142.553217,2010-01-18T00:00:00Z
-38.397913,142.510119,2008-03-06T00:00:00Z
-33.4734,153.2318,2009-10-17T22:01:31Z
-34.0655,151.8981,2009-10-24T17:40:30Z
-31.7521,152.9288,2010-10-01T18:43:06Z
-33.123,152.4137,2008-10-18T14:41:17Z
-32.2998,155.3534,2008-10-12T17:13:07Z
-32.7142,152.3506,2008-10-18T22:47:51Z
