PROJECTNAME,TRIP_CODE,STATION,LONGITUDE,LATITUDE,SAMPLEDATELOCAL,BIOMASS_MGM3,SAMPLETYPE
NRS Ichthyoplankton,NSF20160412,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2016-04-12 10:45:00,,F
NRS Ichthyoplankton,NSF20161215,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2016-12-15 10:15:00,,F
NRS Ichthyoplankton,NSF20170424,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2017-04-24 11:00:00,,F
NRS Ichthyoplankton,NSF20170516,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2017-05-16 10:20:00,,F
NRS Ichthyoplankton,NSF20170717,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2017-07-17 11:05:00,,F
NRS Ichthyoplankton,NSF20170829,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2017-08-29 11:50:00,,F
NRS Ichthyoplankton,NSF20171219,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2017-12-19 10:45:00,,F
NRS Ichthyoplankton,NSF20191220,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2019-12-20 10:20:00,,F
NRS Ichthyoplankton,PHA20150723,Port Hacking A,151.21667,-34.08333,2015-07-23 10:07:00,,F
NRS Ichthyoplankton,PHA20151115,Port Hacking A,151.21667,-34.08333,2015-11-16 09:33:00,,F
NRS Ichthyoplankton,PHA20170205,Port Hacking A,151.21667,-34.08333,2017-02-06 10:49:00,,F
NRS Ichthyoplankton,PHA20170517,Port Hacking A,151.21667,-34.08333,2017-05-18 09:45:00,,F
NRS Ichthyoplankton,PHA20171024,Port Hacking A,151.21667,-34.08333,2017-10-25 09:01:00,,F
NRS Ichthyoplankton,PHA20191028,Port Hacking A,151.21667,-34.08333,2019-10-29 09:30:00,,F
NRS,DAR20191105,Darwin,130.76805,-12.4,2019-11-06 07:38:00,41.06691,PZ
NRS,DAR20121209_0300,Darwin,130.76805,-12.4,2012-12-09 12:30:00,12.86546,PZ
NRS,DAR20180730_2130,Darwin,130.76805,-12.4,2018-07-31 07:03:00,97.76151,PZ
NRS,DAR20180731_0330,Darwin,130.76805,-12.4,2018-07-31 13:00:00,207.90013,PZ
NRS,DAR20190214_0330,Darwin,130.76805,-12.4,2019-02-14 13:00:00,10.98338,PZ
