TAXON_NAME,START_DATE,PARENT_NAME,TRAINING,COMMENTS
Toxarium spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Coscinodiscus spp. 300-400 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Odontella spp. >350 µm cell length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Pleurosigma spp. > 450 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Rhizosolenia bergonii,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Dictyocha antarctica,2008-09-29,,,
Peridinium spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Planktoniella sol,2008-09-29,,,
Rhabdonella spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Climacodium spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Octactis spp.,2008-09-29,,,
Pennate diatom > 10 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros messanense,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Lioloma spp.,2008-09-29,,,
Globotoralia spp.,2008-09-29,,,
Rhizosolenia acuminata,2008-09-29,,,
Actinocyclus spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Asteromphalus hyalinus,2008-09-29,,,
Cocconeis spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Corethron criophilum - INVALID use C. pennatum,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Microzooplankton unid,2008-09-29,,,
Rhizosolenia imbricata,2015-02-01,Rhizosolenia imbricata group,Hobart phytoplankton workshop Feb2015,R. imbricata group used previously and still used if unsure of identification
Amphidinium spp. <30 µm cell height,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Amphiprora spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Asterionellopsis spp.,2008-09-29,,,
Cerataulina pelagica,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Tripos gametes,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Chlorophyta filaments,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chrysophyceae,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Coscinodiscus radiatus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Coscinodiscus spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Coscinodiscus wailesii,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Cyanobacteria,2008-09-29,,,
Cyclotella / Cyclophora,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Cymbella spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Dactyliosolen fragilissimus <150 µm length,2012-08-07,Dactyliosolen fragilissimus,Pru Bonham 2012-03-01,New size classes decided on with Pru Bonham
Detonula pumila,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Unid dinoflagellate > 10 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Unid dinoflagellate < 10 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Dinophysis acuminata,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Dinophysis fortii,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
