SAMPLE,DEPTH_M,SST,CHLA
358-29,-149.58,20.0404101,0.393848658
265-29,-5467.508125,16.1382574,0.252444297
298-5,-145.715,21.92,0.256047219
307-17,-51.973125,15.03,0.343539953
311-33,-529.716875,24.3781878,0.121862583
316-46,-4187.194431,11.1036742,0.232012957
142-68,0.1121,(null),(null)
170-17,-5223.255988,17.53,0.166210666
164-76,-4317.297369,2.46,0.171763405
189-37,0.1121,15.42,0.277472705
189-45,-3427.557788,16.13,0.221722677
207-26,0.1121,9.57,0.346205831
182-49,-4393.315675,19.49,0.116612546
220-61,-4408.388694,-0.24,0.152412206
220-85,-4548.682606,-0.44,(null)
149-20,0.1121,(null),(null)
143-30,0.1121,(null),(null)
140-69,-4410.1097,5.3042299,(null)
14-45,-1655.049706,24.68,0.227013648
76-25,-479.8650688,17.02,0.126325145
177-21,-2317.209469,21.95,0.239359036
265-9,-5220.88125,15.0073547,0.275820822
82-66,-135.9775,22.3606184,(null)
45-22,-325.529375,17.6392991,(null)
6-13,-1564.902119,17.11,0.301529914
14-69,-878.3426875,24.5,0.109227374
12-61,-1171.753438,23.03,0.154265717
187-53,-745.0993766,14.34,0.248913527
92-26,-3635.798925,6.39,0.100109018
93-33,-4030.404981,8.28,0.100146756
100-26,-4139.7725,20.1916601,(null)
160-63,0.1121,3.87,0.198855788
164-34,0.1121,4.87,(null)
207-64,0.1121,9.4,(null)
208-39,0.1121,11.95,0.234217942
208-45,0.1121,12.62,(null)
191-61,0.1121,14.27,(null)
209-37,0.1121,2.16,0.139707476
209-60,0.1121,1.48,0.175248027
216-33,0.1121,7.92,0.169507086
216-39,-3489.516538,6.9,0.175562501
215-41,0.1121,9.97,0.26336509
215-57,-4190.964469,9.94,0.281515896
215-79,-3816.203369,8.95,0.232739106
211-17,-1402.705,16.64,1.54944396
212-5,-76.271875,15.3945074,0.395742148
220-6,-4445.857731,1.52,0.181819335
220-74,-4467.986438,-0.32,(null)
219-29,-4469.224056,2.88,0.204510912
221-22,0.1121,14.28,0.361483246
221-24,0.1121,13.97,0.330876082
365-1,-65.5325,15.79,0.390197039
367-5,-5129.529375,17.02,0.112124518
323-29,-131.3725,16.5,0.200812921
241-73,-55.680625,16.2067991,0.337360233
268-37,-113.984375,22.12,0.334917665
332-57,-106.820625,25.4,0.291086107
271-13,-69.54375,24.98,0.335288316
265-45,-5008.944375,17.3220074,0.321478993
321-1,-3208.308125,12.46,0.409985334
